country, order_value_EUR , cost ,date,category,customer_name,sales_manager,sales_rep,device_type,order_id
Portugal,"95,566.43",80342.70,5/7/2019,Clothing,Hessel-Stiedemann,Celine Tumasian,Hortense Gerring,PC,59-5568557
France,"28,783.05",24776.45,3/29/2019,Clothing,Dibbert Inc,Othello Bowes,Maighdiln Upcraft,PC,12-1249283
UK,"124,414.74",98959.48,6/13/2019,Outdoors,Labadie and Sons,Jessamine Apark,Winny Agnolo,PC,96-0180648
Portugal,"153,029.72",125117.10,1/28/2020,Games,Friesen-Rath,Celine Tumasian,Corene Shirer,PC,51-9029547
Sweden,"174,919.64",146845.04,11/3/2020,Clothing,Wiza and Sons,Maxie Marrow,Caro Morfield,Mobile,84-2614836
France,"55,804.05",46401.07,3/5/2019,Electronics,"Rowe, Hermiston and Kessler",Othello Bowes,Crysta Halls,PC,57-6995715
France,"89,160.66",75367.51,11/18/2019,Beauty,Wiza and Sons,Othello Bowes,Crysta Halls,PC,27-4115444
UK,"27,987.13",24001.76,3/26/2019,Games,Labadie and Sons,Jessamine Apark,Genevra Charrisson,PC,34-3302340
France,"18,326.41",15067.97,2/3/2019,Games,"Schmitt, Purdy and Johnson",Othello Bowes,Ora Grennan,PC,25-6638623
Netherlands,"62,708.60",51414.78,8/29/2019,Smartphones,"Hamill, Kulas and Roob",Denice Amberg,Nero Harbisher,PC,11-5260310
UK,"124,668.36",103998.35,11/5/2020,Games,Hessel-Stiedemann,Jessamine Apark,Winny Agnolo,PC,68-5024232
Italy,"109,390.57",87414.00,11/12/2020,Other,Schoen-Keeling,Piggy Roscrigg,Joshua Prevost,Mobile,90-2530115
Portugal,"103,279.79",82334.65,3/12/2020,Appliances,Johns and Sons,Celine Tumasian,Aurelie Wren,PC,23-8271333
France,"173,478.65",139650.31,1/29/2019,Books,Johns and Sons,Othello Bowes,Avrit Chanders,PC,99-7422044
Sweden,"57,927.54",48914.01,1/18/2019,Games,"Fisher, Morar and Skiles",Maxie Marrow,Alyosha Meah,Mobile,67-6692861
Portugal,"84,767.77",68950.10,1/18/2020,Electronics,McGlynn-Bergstrom,Celine Tumasian,Smitty Culverhouse,Mobile,20-3441688
France,"138,175.53",116744.51,11/3/2020,Other,"Spencer, Rogahn and Muller",Othello Bowes,Ora Grennan,PC,80-8230605
Portugal,"143,107.89",121241.00,11/2/2020,Electronics,Kirlin and Sons,Celine Tumasian,Hortense Gerring,Mobile,18-0704377
Sweden,"54,446.50",44989.14,3/9/2020,Appliances,Wunsch LLC,Maxie Marrow,Alyosha Meah,Tablet,47-5524071
Portugal,"136,324.90",110436.80,10/29/2019,Electronics,Walter LLC,Celine Tumasian,Hortense Gerring,Tablet,76-2572347
Portugal,"43,066.58",36154.39,2/8/2019,Games,"Hamill, Kulas and Roob",Celine Tumasian,Hortense Gerring,Mobile,74-4429133
France,"224,626.25",189988.88,7/21/2020,Electronics,"Christiansen, Donnelly and Bechtelar",Othello Bowes,Ora Grennan,PC,69-1300467
France,"115,689.22",98127.60,7/15/2019,Clothing,Altenwerth-Konopelski,Othello Bowes,Avrit Chanders,PC,99-8643527
Bulgaria,"78,293.94",66236.67,10/13/2019,Appliances,"Rowe, Hermiston and Kessler",Charil Alpe,Bernadine Fullagar,Mobile,14-1143584
Portugal,"92,698.45",73454.25,1/13/2020,Clothing,Hessel-Stiedemann,Celine Tumasian,Corene Shirer,PC,62-4331197
Bulgaria,"83,141.47",72000.51,3/15/2019,Outdoors,Wisoky Inc,Charil Alpe,Shermy McGready,Mobile,02-3333733
Portugal,"38,982.26",32854.25,10/12/2019,Clothing,Hegmann Group,Celine Tumasian,Smitty Culverhouse,Mobile,09-3959499
Portugal,"57,120.58",49654.92,11/25/2019,Games,"Leffler, Prohaska and Streich",Celine Tumasian,Aurelie Wren,PC,55-7848276
Sweden,"240,759.07",205415.64,6/14/2020,Appliances,"Schmitt, Purdy and Johnson",Maxie Marrow,Tarrah Castelletti,PC,98-1814878
Sweden,"53,849.12",47354.92,4/15/2020,Games,"Rowe, Hermiston and Kessler",Maxie Marrow,Alyosha Meah,PC,83-9569509
Ireland,"361,182.87",288368.40,12/2/2019,Books,Smith Group,Glenine Suttaby,Bunnie Tonbridge,PC,44-1953194
Sweden,"97,063.22",78067.95,10/19/2019,Appliances,"Zieme, Bailey and Herzog",Maxie Marrow,Madelon Bront,Tablet,50-0376562
Spain,"39,110.97",34315.97,10/27/2019,Clothing,"Bashirian, Okuneva and Bechtelar",Emalia Dinse,Perri Aldersley,PC,06-9596696
France,"123,672.70",106036.97,11/13/2020,Smartphones,McGlynn-Prosacco,Othello Bowes,Crysta Halls,PC,46-2632808
France,"144,640.80",118345.10,4/11/2019,Electronics,"Murray, Reichel and Nolan",Othello Bowes,Avrit Chanders,PC,77-7771177
France,"268,779.03",233676.49,12/27/2019,Smartphones,O'Connell-Mitchell,Othello Bowes,Ora Grennan,Mobile,13-0624842
Sweden,"53,593.86",45629.81,7/12/2020,Electronics,Friesen-Rath,Maxie Marrow,Caro Morfield,PC,71-4409662
France,"155,044.02",134268.12,10/25/2019,Beauty,West-Cummings,Othello Bowes,Amelina Piscopiello,PC,46-0270404
Portugal,"102,495.13",85009.46,8/8/2020,Smartphones,"Hermiston, Simonis and Wisoky",Celine Tumasian,Hortense Gerring,Tablet,70-7107956
Portugal,"294,472.77",255572.92,6/11/2019,Smartphones,Gislason-Stanton,Celine Tumasian,Smitty Culverhouse,Tablet,84-5310661
Sweden,"64,053.77",54733.95,9/1/2020,Beauty,Armstrong-Little,Maxie Marrow,Anita Woakes,PC,75-6638402
UK,"24,543.72",19492.62,3/22/2019,Clothing,Hessel-Stiedemann,Jessamine Apark,Jay Morefield,PC,53-0615558
Portugal,"161,544.06",132579.21,9/12/2019,Clothing,Johns and Sons,Celine Tumasian,Smitty Culverhouse,PC,00-2549549
Portugal,"50,303.66",41103.12,1/6/2020,Appliances,"Christiansen, Donnelly and Bechtelar",Celine Tumasian,Smitty Culverhouse,PC,23-1397222
Sweden,"124,593.04",109106.13,1/11/2020,Appliances,Johns and Sons,Maxie Marrow,Madelon Bront,Mobile,00-4698524
Sweden,"44,147.92",37163.72,5/18/2020,Beauty,"Murray, Reichel and Nolan",Maxie Marrow,Madelon Bront,PC,76-3837496
Bulgaria,"42,239.66",37039.96,5/17/2019,Smartphones,Johns and Sons,Charil Alpe,Shermy McGready,PC,61-7979087
Sweden,"113,763.38",91158.60,4/1/2020,Books,"Christiansen, Donnelly and Bechtelar",Maxie Marrow,Madelon Bront,PC,52-8377955
Portugal,"183,363.60",155033.92,6/24/2019,Smartphones,Johns and Sons,Celine Tumasian,Hortense Gerring,PC,87-6162387
France,"85,220.83",73767.15,9/15/2019,Beauty,"Shanahan, Schaden and Parker",Othello Bowes,Crysta Halls,Tablet,11-8965256
Portugal,"87,513.27",72469.74,3/5/2020,Books,"Lubowitz, McLaughlin and Erdman",Celine Tumasian,Corene Shirer,Mobile,16-9079414
Bulgaria,"37,073.91",30274.55,4/26/2019,Books,Rath-Schroeder,Charil Alpe,Bernadine Fullagar,Tablet,15-9091881
France,"122,139.94",103684.60,11/2/2019,Smartphones,Smith Group,Othello Bowes,Ora Grennan,PC,07-3222085
France,"107,586.21",94525.24,6/7/2020,Electronics,"Spencer, Rogahn and Muller",Othello Bowes,Amelina Piscopiello,PC,20-3384992
UK,"203,958.16",176444.20,12/2/2020,Appliances,Larkin-Collier,Jessamine Apark,Genevra Charrisson,PC,09-3404706
Portugal,"55,132.39",47121.65,6/11/2019,Clothing,"Dickinson, Hyatt and Berge",Celine Tumasian,Hortense Gerring,PC,97-8712680
Ireland,"135,424.06",116275.10,1/15/2020,Electronics,"Hamill, Kulas and Roob",Glenine Suttaby,Palm Wetherald,PC,43-4245267
Sweden,"167,123.72",132946.92,8/1/2019,Smartphones,Hegmann Group,Maxie Marrow,Alyosha Meah,PC,58-8969119
Germany,"92,868.37",79068.13,3/30/2020,Electronics,"Fisher, Morar and Skiles",Rickard Doogood,Casie MacBain,PC,88-8436664
Portugal,"108,689.45",91223.06,11/9/2019,Appliances,Walter LLC,Celine Tumasian,Brynn Dempster,Mobile,35-6825112
Portugal,"79,874.42",68132.88,11/14/2020,Outdoors,"Farrell, Swaniawski and Crist",Celine Tumasian,Smitty Culverhouse,PC,24-4511396
Germany,"153,011.39",131543.89,9/13/2019,Appliances,Johns and Sons,Rickard Doogood,Casie MacBain,PC,99-0564964
Portugal,"72,857.41",60442.51,5/10/2020,Clothing,Armstrong-Little,Celine Tumasian,Brynn Dempster,PC,47-9920494
France,"102,771.44",83584.01,11/24/2019,Accessories,McClure Inc,Othello Bowes,Maighdiln Upcraft,PC,82-9352154
UK,"90,559.16",75318.05,8/26/2019,Outdoors,"Dickinson, Hyatt and Berge",Jessamine Apark,Genevra Charrisson,PC,74-6920956
Portugal,"141,796.75",112317.21,9/16/2020,Games,Johns and Sons,Celine Tumasian,Corene Shirer,PC,16-8778373
Bulgaria,"103,874.10",82112.48,1/14/2019,Outdoors,Johns and Sons,Charil Alpe,Shermy McGready,PC,85-4014655
Spain,"134,908.19",114388.65,8/18/2020,Clothing,Romaguera-Dietrich,Emalia Dinse,Perri Aldersley,PC,25-2355172
Portugal,"45,256.74",38975.10,1/14/2019,Other,"Spencer, Rogahn and Muller",Celine Tumasian,Smitty Culverhouse,PC,31-7667796
Portugal,"131,018.65",107920.06,4/2/2020,Clothing,Hane Inc,Celine Tumasian,Brynn Dempster,PC,39-2536155
Ireland,"84,877.87",68454.00,12/1/2019,Electronics,"Zieme, Bailey and Herzog",Glenine Suttaby,Bunnie Tonbridge,PC,30-8840089
France,"168,197.78",144246.42,1/13/2019,Smartphones,Kihn Inc,Othello Bowes,Crysta Halls,PC,93-8309926
UK,"383,996.76",304701.43,12/19/2019,Other,Johns and Sons,Jessamine Apark,Winny Agnolo,PC,42-7823733
France,"56,811.14",48221.30,10/7/2019,Clothing,"Schowalter, Lesch and Beahan",Othello Bowes,Ora Grennan,PC,03-9337803
Portugal,"74,364.46",60145.98,1/21/2020,Clothing,Altenwerth-Konopelski,Celine Tumasian,Aurelie Wren,Mobile,42-1879788
Finland,"235,608.66",201468.96,7/27/2020,Games,Hegmann Group,Hube Corey,Wat Bowkley,Tablet,42-8394841
Sweden,"31,627.37",25662.45,8/27/2020,Beauty,"Christiansen, Donnelly and Bechtelar",Maxie Marrow,Caro Morfield,Mobile,84-5642889
Sweden,"57,227.99",46331.78,3/28/2019,Appliances,Johns and Sons,Maxie Marrow,Alyosha Meah,PC,92-7234550
Portugal,"84,598.68",72391.09,4/28/2020,Clothing,"Hamill, Kulas and Roob",Celine Tumasian,Brynn Dempster,PC,98-5721101
Sweden,"98,322.98",84872.40,10/9/2020,Clothing,Hessel-Stiedemann,Maxie Marrow,Tarrah Castelletti,PC,32-9344186
Netherlands,"62,567.58",49916.42,4/21/2019,Clothing,Hessel-Stiedemann,Denice Amberg,Nero Harbisher,PC,40-7356336
Sweden,"239,423.57",199152.52,12/8/2019,Electronics,"Hamill, Kulas and Roob",Maxie Marrow,Madelon Bront,Mobile,94-1762263
France,"68,773.03",59082.91,9/30/2019,Games,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,PC,26-5649751
Germany,"102,918.09",87480.38,10/28/2019,Smartphones,"Swaniawski, Runolfsson and Green",Rickard Doogood,Casie MacBain,PC,88-5343320
UK,"150,313.19",118927.80,1/23/2020,Beauty,Johns and Sons,Jessamine Apark,Jay Morefield,PC,09-6527060
Sweden,"144,072.90",123729.81,7/13/2019,Beauty,"Fisher, Morar and Skiles",Maxie Marrow,Anita Woakes,PC,85-3431441
Sweden,"69,681.43",55529.13,1/25/2020,Clothing,Romaguera-Dietrich,Maxie Marrow,Alyosha Meah,PC,78-3301264
Sweden,"78,542.59",68010.03,5/26/2019,Games,Kihn Inc,Maxie Marrow,Caro Morfield,PC,02-9523107
Portugal,"37,582.13",31967.36,5/7/2020,Appliances,Hilll-Vandervort,Celine Tumasian,Smitty Culverhouse,Mobile,19-9205287
Sweden,"88,329.48",73755.12,8/16/2020,Clothing,Corwin and Sons,Maxie Marrow,Caro Morfield,Mobile,94-1199389
Portugal,"249,099.44",215695.20,6/15/2020,Other,Johns and Sons,Celine Tumasian,Corene Shirer,PC,88-4621939
UK,"28,328.78",24408.08,2/19/2019,Clothing,"Dickinson, Hyatt and Berge",Jessamine Apark,Jay Morefield,PC,68-9634139
Portugal,"162,246.76",142663.58,8/28/2019,Games,Hessel-Stiedemann,Celine Tumasian,Corene Shirer,PC,44-5200140
Germany,"161,217.16",135696.48,10/20/2019,Games,Labadie and Sons,Rickard Doogood,Casie MacBain,PC,98-6247105
France,"37,397.43",30837.92,5/17/2020,Games,Hegmann Group,Othello Bowes,Avrit Chanders,PC,24-6566439
UK,"99,064.31",85393.44,7/10/2020,Books,Johns and Sons,Jessamine Apark,Winny Agnolo,PC,52-9152387
Sweden,"15,817.05",13743.44,3/10/2019,Clothing,Kihn Inc,Maxie Marrow,Anita Woakes,PC,26-9787272
Portugal,"38,930.16",32837.59,11/18/2020,Outdoors,"Spencer, Rogahn and Muller",Celine Tumasian,Brynn Dempster,PC,12-2202467
Portugal,"28,859.73",23656.32,1/9/2019,Electronics,Larkin-Collier,Celine Tumasian,Corene Shirer,Mobile,82-0537890
France,"54,079.04",45031.62,5/29/2020,Games,"Lueilwitz, Kerluke and Lesch",Othello Bowes,Avrit Chanders,PC,15-6838362
Sweden,"70,596.70",60564.91,2/9/2020,Electronics,Hilll-Vandervort,Maxie Marrow,Alyosha Meah,PC,51-0685379
UK,"169,629.55",135347.42,10/23/2019,Outdoors,Johns and Sons,Jessamine Apark,Jay Morefield,PC,76-5919033
Portugal,"95,387.89",76195.85,5/8/2020,Books,Gislason-Stanton,Celine Tumasian,Aurelie Wren,PC,34-7627348
France,"50,585.98",40999.94,8/29/2020,Beauty,"Bashirian, Okuneva and Bechtelar",Othello Bowes,Maighdiln Upcraft,Tablet,32-1940437
Sweden,"103,726.57",90231.74,5/21/2020,Clothing,Dibbert Inc,Maxie Marrow,Caro Morfield,Mobile,25-9913528
UK,"222,700.23",194951.78,12/12/2020,Appliances,Johns and Sons,Jessamine Apark,Genevra Charrisson,Mobile,73-3464233
Portugal,"143,322.47",114213.68,5/19/2020,Books,Johns and Sons,Celine Tumasian,Corene Shirer,PC,04-2863062
UK,"128,227.36",106710.81,6/1/2019,Accessories,"Murray, Reichel and Nolan",Jessamine Apark,Jay Morefield,PC,18-7077174
Sweden,"127,939.80",112267.17,12/9/2019,Clothing,Gislason-Stanton,Maxie Marrow,Alyosha Meah,PC,64-8300193
Sweden,"146,540.75",120822.85,4/30/2019,Smartphones,"Swaniawski, Runolfsson and Green",Maxie Marrow,Anita Woakes,PC,84-2858993
Portugal,"36,321.68",31581.70,10/29/2020,Books,Kirlin and Sons,Celine Tumasian,Smitty Culverhouse,PC,72-2647440
Spain,"42,814.57",35356.27,2/1/2019,Beauty,Wiza and Sons,Emalia Dinse,Perri Aldersley,PC,68-1806238
UK,"169,262.20",141080.04,4/26/2020,Beauty,Considine-Fisher,Jessamine Apark,Winny Agnolo,PC,87-0922827
Sweden,"114,427.36",93727.45,3/11/2020,Other,Tillman and Sons,Maxie Marrow,Madelon Bront,PC,33-8547717
UK,"126,979.62",105113.73,9/26/2019,Electronics,Dibbert Inc,Jessamine Apark,Genevra Charrisson,PC,15-5051694
Luxembourg,"294,874.74",259106.43,12/15/2020,Books,Morissette Group,Ilsa Kob,Jocelyn Laurentino,PC,37-2363680
UK,"173,258.94",143198.51,5/24/2019,Clothing,Johns and Sons,Jessamine Apark,Jay Morefield,PC,92-4106004
Luxembourg,"158,362.33",133990.37,8/14/2020,Books,Hessel-Stiedemann,Ilsa Kob,Jocelyn Laurentino,PC,39-1671087
UK,"50,689.19",43597.77,11/18/2020,Clothing,"Swaniawski, Runolfsson and Green",Jessamine Apark,Jay Morefield,PC,77-9240051
Ireland,"117,358.02",102664.80,11/2/2020,Clothing,Goldner-Dibbert,Glenine Suttaby,Palm Wetherald,PC,79-8966057
Sweden,"93,996.68",77171.27,10/10/2020,Games,"Swaniawski, Runolfsson and Green",Maxie Marrow,Alyosha Meah,Mobile,75-0683725
UK,"119,769.22",98234.71,1/11/2020,Books,"Bashirian, Okuneva and Bechtelar",Jessamine Apark,Jay Morefield,PC,55-5032186
France,"84,194.21",71885.02,12/26/2020,Books,"Zieme, Bailey and Herzog",Othello Bowes,Avrit Chanders,Mobile,31-8836719
Finland,"205,582.75",166748.17,12/22/2020,Beauty,Tromp LLC,Hube Corey,Wat Bowkley,PC,64-4923214
Sweden,"159,793.46",139180.10,6/15/2019,Smartphones,"Swaniawski, Runolfsson and Green",Maxie Marrow,Alyosha Meah,Tablet,98-2574776
Portugal,"104,711.22",90868.40,8/25/2020,Clothing,Marquardt-Kuvalis,Celine Tumasian,Corene Shirer,PC,33-0729966
France,"69,126.50",55902.60,12/8/2019,Electronics,"Farrell, Swaniawski and Crist",Othello Bowes,Avrit Chanders,PC,07-3201531
Sweden,"20,226.11",17408.61,2/23/2019,Electronics,Larkin-Collier,Maxie Marrow,Caro Morfield,PC,21-3278349
France,"65,036.81",52361.14,5/30/2019,Other,Considine-Fisher,Othello Bowes,Amelina Piscopiello,PC,50-1695443
France,"254,021.98",205605.39,7/3/2019,Clothing,McGlynn-Prosacco,Othello Bowes,Maighdiln Upcraft,PC,52-3693331
Luxembourg,"160,185.99",130487.51,9/27/2020,Accessories,"Zieme, Bailey and Herzog",Ilsa Kob,Jocelyn Laurentino,PC,98-3033030
UK,"81,219.67",70319.99,5/20/2020,Clothing,Hessel-Stiedemann,Jessamine Apark,Genevra Charrisson,PC,34-5793997
Portugal,"108,412.76",88594.91,8/3/2019,Smartphones,Romaguera-Haley,Celine Tumasian,Corene Shirer,Mobile,52-7280101
Spain,"42,028.45",36299.97,3/1/2020,Other,Hessel-Stiedemann,Emalia Dinse,Perri Aldersley,PC,55-3118263
Sweden,"62,272.96",54600.93,2/20/2019,Beauty,Romaguera-Haley,Maxie Marrow,Caro Morfield,PC,58-9822844
Sweden,"91,350.76",75839.40,2/4/2019,Games,Tillman and Sons,Maxie Marrow,Alyosha Meah,PC,51-5324396
UK,"123,272.44",101576.49,1/20/2019,Clothing,"Christiansen, Donnelly and Bechtelar",Jessamine Apark,Genevra Charrisson,Tablet,99-5465830
Luxembourg,"182,852.21",145440.65,12/28/2019,Outdoors,Johns and Sons,Ilsa Kob,Jocelyn Laurentino,PC,01-8696189
Portugal,"118,321.11",94822.54,11/23/2020,Electronics,Tillman and Sons,Celine Tumasian,Aurelie Wren,Tablet,20-7636879
UK,"74,295.81",63716.09,4/11/2019,Games,"Keeling, Monahan and Pollich",Jessamine Apark,Genevra Charrisson,PC,85-8092784
UK,"152,865.34",121130.50,12/6/2020,Clothing,Konopelski LLC,Jessamine Apark,Genevra Charrisson,PC,97-5905883
France,"171,458.64",148877.54,8/16/2019,Books,McGlynn-Bergstrom,Othello Bowes,Crysta Halls,PC,74-6473826
UK,"156,177.77",130096.08,12/24/2019,Clothing,Johns and Sons,Jessamine Apark,Winny Agnolo,PC,91-0416047
Portugal,"116,023.51",96566.37,6/2/2020,Smartphones,Tillman and Sons,Celine Tumasian,Smitty Culverhouse,PC,34-0232219
France,"70,657.26",61330.50,9/5/2020,Other,"Rowe, Hermiston and Kessler",Othello Bowes,Maighdiln Upcraft,PC,34-0783331
Netherlands,"104,152.15",85696.39,5/6/2019,Smartphones,"Swaniawski, Runolfsson and Green",Denice Amberg,Nero Harbisher,Mobile,30-8215510
Portugal,"84,224.98",68239.08,1/21/2019,Appliances,Hessel-Stiedemann,Celine Tumasian,Aurelie Wren,Mobile,95-3196761
Portugal,"172,505.24",139125.48,10/2/2020,Accessories,Romaguera-Haley,Celine Tumasian,Brynn Dempster,PC,99-3651863
Portugal,"89,830.34",76795.96,4/19/2019,Games,Johns and Sons,Celine Tumasian,Aurelie Wren,Tablet,94-8641337
Netherlands,"353,925.06",287528.72,12/4/2020,Clothing,Corwin and Sons,Denice Amberg,Nero Harbisher,PC,36-2694099
France,"141,436.98",114691.25,5/26/2019,Outdoors,Walter LLC,Othello Bowes,Maighdiln Upcraft,PC,40-5308505
UK,"178,465.40",156282.15,4/27/2020,Accessories,Romaguera-Haley,Jessamine Apark,Winny Agnolo,PC,68-8279682
Sweden,"110,092.84",92797.25,6/29/2020,Other,"Rowe, Hermiston and Kessler",Maxie Marrow,Anita Woakes,Tablet,50-2481520
UK,"154,715.49",126572.74,10/23/2020,Electronics,Smith Group,Jessamine Apark,Genevra Charrisson,PC,46-1054213
Sweden,"92,877.57",75936.70,4/5/2020,Electronics,Wisoky Inc,Maxie Marrow,Madelon Bront,Mobile,40-9497268
France,"66,141.13",53435.42,5/26/2019,Clothing,Stehr LLC,Othello Bowes,Ora Grennan,PC,54-5107115
Germany,"241,782.39",196544.91,6/9/2020,Appliances,Johns and Sons,Rickard Doogood,Casie MacBain,PC,15-7053450
Portugal,"211,872.69",177930.69,7/23/2019,Games,Johns and Sons,Celine Tumasian,Hortense Gerring,Mobile,36-2012010
Portugal,"170,408.23",143432.61,11/3/2020,Clothing,Romaguera-Haley,Celine Tumasian,Aurelie Wren,Mobile,61-7521706
Sweden,"157,683.41",130624.94,6/8/2019,Electronics,Hegmann Group,Maxie Marrow,Alyosha Meah,Tablet,17-0893784
Portugal,"116,157.89",97166.07,11/14/2019,Games,"Parisian, Steuber and Satterfield",Celine Tumasian,Hortense Gerring,PC,23-5766200
France,"56,106.13",45081.27,3/12/2020,Electronics,"Rowe, Hermiston and Kessler",Othello Bowes,Amelina Piscopiello,PC,24-3140242
Sweden,"40,385.45",32591.06,7/15/2020,Smartphones,Armstrong-Little,Maxie Marrow,Tarrah Castelletti,PC,81-0573181
UK,"112,491.58",92254.34,10/24/2019,Appliances,Hessel-Stiedemann,Jessamine Apark,Genevra Charrisson,Mobile,13-1936536
Finland,"200,635.57",172245.64,12/11/2019,Clothing,Larkin-Collier,Hube Corey,Wat Bowkley,PC,94-8026718
Portugal,"243,176.92",202250.24,7/3/2020,Appliances,Gislason-Stanton,Celine Tumasian,Hortense Gerring,PC,81-5976459
Portugal,"52,227.07",45124.19,3/14/2019,Books,"Farrell, Swaniawski and Crist",Celine Tumasian,Corene Shirer,PC,28-6038070
Bulgaria,"147,672.87",129110.39,10/15/2019,Electronics,Homenick-Marvin,Charil Alpe,Bernadine Fullagar,PC,81-7970957
France,"149,500.61",125401.11,7/24/2020,Games,McGlynn-Bergstrom,Othello Bowes,Crysta Halls,PC,60-8646184
France,"53,089.52",44812.86,8/24/2019,Beauty,Goldner-Dibbert,Othello Bowes,Crysta Halls,PC,32-2114915
France,"85,223.07",73002.08,9/15/2019,Beauty,"Hamill, Kulas and Roob",Othello Bowes,Maighdiln Upcraft,PC,58-7865136
Denmark,"58,948.52",49416.54,5/20/2020,Clothing,Wisoky Inc,Modestia Byfford,Case Desorts,PC,98-9112505
